MLS_Num,Address,City,Original_Price,List_Date,Days_On_Market,Living_SQFT,Status,List_Price,Land_SQFT,Type,Closing_Date,Sold_Price,Zip
402872,2885 Hana Hwy,Hana,1200000,45485,61,1764,PNDS,1200000,161651,SF,,,96713
399291,55 Kalola Pl,Kihei,1675000,45112,176,1152,SLD,1395000,7501,SFD,45288,1395000,96753
401821,323 Door of Faith Rd,Haiku,1395000,45395,73,1329,SLD,1395000,90648,SFD,45468,1450000,96708
399914,122 Ikea Pl,Pukalani,1650000,45201,99,2368,SLD,1595000,22751,SF,45300,1525000,96768
402043,580 Kaiola St,Kihei,1650000,45415,131,1384,ACT,1585000,7675,SF,,,96753
398907,6 Orchid Pl,Lahaina,1725000,45064,127,1468,SLD,1645000,7349,SF,45191,1590000,96761
402075,359 Kenolio Rd,Kihei,2500000,45419,93,1800,SLD,1600000,16252,SFD,45530,1600108,96753
402249,230 KEALA St,Kihei,1710000,45430,116,1452,ACT,1620000,7610,SF,,,96753
402242,100 Lili Lehua St,Wailuku,1695000,45430,116,1739,ACT,1625000,6347,SF,,,96793
400872,21 Lanikeha Pl,Kahului,1675000,45306,65,2198,SLD,1675000,8128,SF,45371,1675000,96732
401713,2688 Ohina St,Kihei,1987500,45383,158,1684,SLD,1795000,7697,SF,45541,1725000,96753
402367,2185 Haukai Pl,Kihei,1895000,45441,105,1869,PNDS,1775000,7501,SHO,,,96753
401968,705 Alulike St,Kihei,1785000,45408,96,1754,SLD,1785000,9627,SHO,45504,1785000,96753
399835,24 Loihi Pl,Kahului,1785000,45189,69,2160,SLD,1785000,7061,SF,45258,1785000,96732
401857,192 MEHANI Cir,Kihei,1850000,45398,65,1809,SLD,1800000,7967,SFD,45463,1790000,96753
399869,66 Puu Hale St,Lahaina,1985000,45195,70,3089,SLD,1985000,10001,SF,45265,1860000,96761
402695,72 Huluhulu Pl,Kahului,1949000,45468,78,2120,PNDS,1899000,11421,SF,,,96732
399544,36 Waikalani Pl,Kihei,2395000,45146,321,3597,SLD,1995000,8433,SF,45467,1925000,96753
403110,1330 KAUHIKOA Rd,Haiku,2000000,45511,35,1986,PNDS,2000000,113517,SF,,,96708
403420,2445 Piiholo Rd,Makawao,2050000,45544,2,2160,ACT,2050000,98620,SFD,,,96768
402118,4492 Waha Pl,Haiku,2295000,45421,125,1618,ACT,2099500,87425,SF,,,96708
401891,32 Honuea St,Kihei,2285000,45400,146,1660,ACT,2100000,7501,SHO,,,96753
399843,151 Walua Pl,Kihei,2300000,45191,182,2039,SLD,2250000,10071,SHO,45373,2100000,96753
401088,132 Oleander Pl,Lahaina,2299000,45327,151,2680,SLD,2299000,7710,SF,45478,2100000,96761
403024,1137 Umeke Cir,Kihei,2150000,45491,55,1898,ACT,2150000,1742400,SF,,,96753
